,state,enter_price,enter_time,exit_price,ror,fiat_money,비공식환율
109,True,40070000.0,2021-01-18,35824.99,1.0157968205427952,8050183.685136758,1118.4929849247692
110,False,30851.99,2021-01-22,39253000.0,1.1266701354919444,9069901.543268071,1272.3004253534373
111,True,34525000.0,2021-01-23,32950.0,1.1266701354919444,9069901.543268071,1047.7996965098635
112,False,32078.0,2021-01-24,36345000.0,1.0727284445206298,9729541.374465218,1133.0195149323524
113,True,35494000.0,2021-01-25,32259.45,1.0727284445206298,9729541.374465218,1100.2667435433648
114,False,30362.19,2021-01-28,35929000.0,1.06736834833133,10385004.506884279,1183.3467875670365
115,True,34293000.0,2021-01-29,33368.18,1.06736834833133,10385004.506884279,1027.7156260844913
116,False,34246.28,2021-01-30,36631000.0,1.0332758722097943,10730574.589753497,1069.6344245272771
117,True,37523000.0,2021-01-31,34262.89,1.0332758722097943,10730574.589753497,1095.1498837371862
118,False,33092.97,2021-02-01,37039000.0,1.0144527109168247,10885660.48227063,1119.2407330016013
119,True,36408000.0,2021-02-02,33517.09,1.0144527109168247,10885660.48227063,1086.2518195941236
120,False,51552.61,2021-02-19,57458000.0,1.0169866174751732,11070571.03284757,1114.550747285152
121,True,57852000.0,2021-02-20,55906.0,1.0169866174751732,11070571.03284757,1034.8084284334418
122,False,55841.19,2021-02-21,63649000.0,1.0898109195009393,12064829.196708074,1139.8216979258502
123,True,64260000.0,2021-02-22,57412.35,1.0898109195009393,12064829.196708074,1119.2713762805388
124,False,54087.67,2021-02-23,65416000.0,1.0692138074035051,12899881.961085211,1209.4438529150916
125,True,55106000.0,2021-02-25,49676.21,1.0692138074035051,12899881.961085211,1109.3036284370326
126,False,47073.73,2021-02-26,56501000.0,1.0726046872547699,13836473.856493251,1200.266050725107
127,True,51798000.0,2021-03-02,49595.76,1.0726046872547699,13836473.856493251,1044.4037958083513
128,False,48436.61,2021-03-03,56438000.0,1.1068900300398157,15315454.962658938,1165.1930223853403
129,True,56007000.0,2021-03-04,50349.37,1.1068900300398157,15315454.962658938,1112.3674437237248
130,False,48374.09,2021-03-05,57933000.0,1.0683911348960835,16362896.309005037,1197.6039239187758
131,True,56225000.0,2021-03-08,50959.11,1.0683911348960835,16362896.309005037,1103.3355959317184
132,False,55851.59,2021-03-11,62950000.0,1.0136904409948995,16586911.57542913,1127.0941436045061
133,True,64354000.0,2021-03-12,57773.15,1.0136904409948995,16586911.57542913,1113.9084505518565
134,False,57221.72,2021-03-13,66208000.0,1.0302626307457894,17088875.1556494,1157.0431647283585
135,True,66607000.0,2021-03-14,61188.38,1.0302626307457894,17088875.1556494,1088.5563566154228
136,False,58976.08,2021-03-15,70615000.0,1.0910505358740443,18644826.396055922,1197.349840816819
137,True,64490000.0,2021-03-17,56900.74,1.0910505358740443,18644826.396055922,1133.3771757625648
138,False,57641.0,2021-03-19,68494000.0,1.0406234192094992,19402242.994831238,1188.2861157856387
139,True,63334000.0,2021-03-27,55025.59,1.0406234192094992,19402242.994831238,1150.9917476577718
140,False,55817.14,2021-03-28,65660000.0,1.0147533830517999,19688491.717798084,1176.3411740551378
141,True,59850000.0,2021-04-27,54001.38,1.0147533830517999,19688491.717798084,1108.3050099830784
