"날짜","종가","오픈","고가","저가","변동 %"
"2015년 06월 29일","180.42","180.67","181.75","179.96","-0.24%"
"2015년 06월 26일","180.86","178.89","181.43","178.71","0.99%"
"2015년 06월 25일","179.08","178.57","179.32","178.29","0.12%"
"2015년 06월 24일","178.86","178.04","179.25","177.85","0.31%"
"2015년 06월 23일","178.31","177.19","178.72","177.07","0.53%"
"2015년 06월 22일","177.37","177.42","177.92","176.67","-0.16%"
"2015년 06월 19일","177.66","177.98","178.57","177.12","-0.24%"
"2015년 06월 18일","178.09","179.17","179.53","177.24","-0.83%"
"2015년 06월 17일","179.58","180.02","181.12","178.93","-0.34%"
"2015년 06월 16일","180.19","179.65","180.51","179.51","0.19%"
"2015년 06월 15일","179.84","178.93","180.36","178.93","0.39%"
"2015년 06월 12일","179.14","179.23","180.13","178.55","-0.14%"
"2015년 06월 11일","179.39","178.81","179.85","177.99","0.22%"
"2015년 06월 10일","179.00","180.52","180.97","178.38","-0.95%"
"2015년 06월 09일","180.71","180.13","181.00","179.93","0.23%"
"2015년 06월 08일","180.30","181.15","181.42","179.95","-0.54%"
"2015년 06월 05일","181.28","179.42","181.32","178.74","0.94%"
"2015년 06월 04일","179.59","178.51","179.75","178.42","0.50%"
"2015년 06월 03일","178.69","178.53","179.22","177.96","0.00%"
"2015년 06월 02일","178.69","179.85","180.31","178.42","-0.76%"
"2015년 06월 01일","180.05","179.45","180.23","178.98","0.27%"
"2015년 05월 29일","179.57","178.59","179.99","178.31","0.44%"
"2015년 05월 28일","178.78","178.72","179.30","177.96","-0.07%"
"2015년 05월 27일","178.91","178.39","179.34","177.87","0.18%"
"2015년 05월 26일","178.58","176.69","178.66","176.58","0.97%"
"2015년 05월 25일","176.87","176.93","177.23","176.60","-0.05%"
"2015년 05월 22일","176.96","176.24","176.97","175.57","0.30%"
"2015년 05월 21일","176.43","176.53","177.00","176.07","-0.16%"
"2015년 05월 20일","176.72","176.32","177.17","176.11","0.13%"
"2015년 05월 19일","176.49","175.59","176.61","175.23","0.42%"
"2015년 05월 18일","175.75","174.49","175.91","174.41","0.65%"
"2015년 05월 15일","174.62","175.46","176.72","174.39","-0.52%"
"2015년 05월 14일","175.54","175.99","177.01","175.34","-0.35%"
"2015년 05월 13일","176.16","175.90","177.42","175.37","0.05%"
"2015년 05월 12일","176.08","176.50","176.93","175.74","-0.35%"
"2015년 05월 11일","176.69","175.09","176.81","174.51","0.84%"
"2015년 05월 08일","175.22","176.11","176.45","174.87","-0.60%"
"2015년 05월 07일","176.27","174.05","176.78","173.80","1.17%"
"2015년 05월 06일","174.24","174.08","174.75","173.66","0.00%"
"2015년 05월 05일","174.24","174.06","174.77","173.88","0.00%"
