날짜,비트코인한국,바이낸스USDT(달러),달러환율,날짜_2,LSTM예측값,바이낸스달러환산,프리미엄가,재측정달러가치,재측정달러가치_예상김프,달러환율_예상김프,LSTM예측값_예상김프
2022-07-11,28199000.0,20861.11,1294.79,2022-07-11 09:00:00,1286.57861328125,27010756.6169,0.04399148827828636,1351.7497391078423,-0.007210154267832003,0.0020185377172271535,0.003348957413393139
2022-07-12,27317000.0,19963.61,1311.16,2022-07-12 09:00:00,1286.512939453125,26175486.8876,0.0436100049371293,1368.3396940733664,-0.009898080631626477,-0.0006337512532224865,0.0033595979735631387
2022-07-13,26474000.0,19331.28,1306.45,2022-07-13 09:00:00,1286.843994140625,25255350.756,0.04825311102481833,1369.490276898374,-0.010084499577036166,0.00012936915305838959,0.0033059600568697
2022-07-14,25723000.0,20234.87,1305.1,2022-07-14 09:00:00,1287.4212646484375,26408528.836999997,-0.025958615159187848,1271.2214113557438,0.005837151505267757,0.0003480979319287203,0.0032124299285351265
2022-07-15,26604000.0,20588.84,1317.57,2022-07-15 09:00:00,1288.3525390625,27127237.9188,-0.019288285831613572,1292.156333236841,0.0024452478765286945,-0.001672307899562242,0.0030615436208454583
2022-07-16,27140000.0,20830.04,1317.57,2022-07-16 09:00:00,1290.083984375,27445035.8028,-0.01111442539159957,1302.9259665367902,0.0007003376983220899,-0.001672307899562242,0.0027810125698203847
2022-07-17,27496000.0,21195.6,1317.57,2022-07-17 09:00:00,1291.82958984375,27926686.691999998,-0.01542204761882382,1297.2503727188662,0.0016199048873282995,-0.001672307899562242,0.0024981872716210995
2022-07-18,27856000.0,20799.58,1319.15,2022-07-18 09:00:00,1293.9310302734375,27437765.957000006,0.015243006433375283,1339.2578119365871,-0.005186195767161256,-0.0019283015814993698,0.0021577091241735125
2022-07-19,27505000.0,22432.58,1319.2,2022-07-19 09:00:00,1296.316162109375,29593059.536000002,-0.07055909624551915,1226.118440232911,0.013144794317949321,-0.0019364026473834561,0.0017712669212703036
2022-07-20,29322000.0,23398.48,1304.38,2022-07-20 09:00:00,1298.959228515625,30520509.342400003,-0.03926898234083531,1253.1583248142615,0.008763756588117538,0.00046475328065950783,0.0013430338194094227
2022-07-21,30646000.0,23223.3,1313.7,2022-07-21 09:00:00,1301.42041015625,30508449.21,0.004508612976463988,1319.6229648671808,-0.0020049319724971537,-0.001045285400134044,0.0009442699269413268
2022-07-22,30500000.0,23152.19,1306.66,2022-07-22 09:00:00,1303.9769287109375,30252040.5854,0.008196452530202736,1317.3699766631148,-0.0016398998549530253,9.534467634519928e-05,0.0005300594220331023
2022-07-23,30415000.0,22684.83,1306.66,2022-07-23 09:00:00,1306.2994384765625,29641359.967800003,0.02610001811794116,1340.7638496739892,-0.005430205985853531,9.534467634519928e-05,0.00015376332947789062
2022-07-24,30077000.0,22448.58,1306.66,2022-07-24 09:00:00,1308.36767578125,29332661.542800006,0.025375755831563707,1339.8174851148715,-0.005276874752978,9.534467634519928e-05,-0.00018133520390603564
2022-07-25,29704000.0,22577.13,1310.6,2022-07-25 09:00:00,1309.99365234375,29589586.577999998,0.0038666786269014874,1315.6676690084169,-0.0013640897256392004,-0.0005430193153206919,-0.0004447780690818859
2022-07-26,29818000.0,21310.9,1311.47,2022-07-26 09:00:00,1311.1885986328125,27948606.023000002,0.06688684134949696,1399.190085824625,-0.014896501754162406,-0.0006839778617038217,-0.000638384841394668
2022-07-27,28555000.0,21254.67,1311.03,2022-07-27 09:00:00,1311.5869140625,27865510.010099996,0.024743490775876564,1343.4694587118972,-0.005868572327306948,-0.000612688481923862,-0.0007029204321655769
2022-07-28,28401000.0,22954.31,1306.37,2022-07-28 09:00:00,1311.6458740234375,29986821.9547,-0.05288396206492452,1237.2839784772445,0.011335739098976866,0.0001423308584729277,-0.0007124732027271319
2022-07-29,30200000.0,23845.25,1296.07,2022-07-29 09:00:00,1311.52978515625,30905113.167499997,-0.022815420984819368,1266.499617324205,0.0066021827960793256,0.0018111504305945714,-0.0006936643314972291
2022-07-30,31217000.0,23777.28,1296.07,2022-07-30 09:00:00,1310.771484375,30817019.289599996,0.012979214720321375,1312.891970822567,-0.0009143674480810438,0.0018111504305945714,-0.0005708034397200468
2022-07-31,31402000.0,23644.64,1296.07,2022-07-31 09:00:00,1309.544189453125,30645108.564799998,0.02469860511668709,1328.0811211335847,-0.003375333595937724,0.0018111504305945714,-0.00037195549929378013
2022-08-01,31270000.0,23296.36,1303.29,2022-08-01 09:00:00,1308.1153564453125,30361913.0244,0.029908753604235283,1342.2697794848636,-0.005674198718147588,0.0006413565169325897,-0.0001404540926208675
2022-08-02,30750000.0,23266.9,1307.74,2022-08-02 09:00:00,1306.501220703125,30427055.806,0.010613718134907968,1321.6199837537445,-0.002328491603933447,-7.963834675103754e-05,0.00012107030724547996
2022-08-03,30851000.0,22985.93,1315.3,2022-08-03 09:00:00,1304.55615234375,30233393.729,0.020427950515115034,1342.1688833125306,-0.005657851387357138,-0.0013045195084247507,0.00043621284581243924
2022-08-04,30754000.0,22816.91,1308.23,2022-08-04 09:00:00,1302.561767578125,29849766.1693,0.0302928279428194,1347.8599862996348,-0.006579931392390076,-0.00015902879241505574,0.0007593456935033327
2022-08-05,30708000.0,22622.41,1302.81,2022-08-05 09:00:00,1300.642822265625,29472701.972099997,0.04191329417538259,1357.41505878463,-0.008128056826953278,0.0007191267494198184,0.001070255741593723
2022-08-06,30318000.0,23313.56,1302.81,2022-08-06 09:00:00,1298.927490234375,30373139.1036,-0.0018153903490819578,1300.4448912993125,0.0011023247775656941,0.0007191267494198184,0.0013481760975584955
2022-08-07,30767000.0,22954.21,1302.81,2022-08-07 09:00:00,1297.3607177734375,29904974.330099996,0.02882549439383264,1340.3641423512288,-0.005365444878732861,0.0007191267494198184,0.0016020266361869984
2022-08-08,30534000.0,23174.39,1303.7,2022-08-08 09:00:00,1295.92041015625,30212452.243,0.010642888383034066,1317.5751335849616,-0.001673139649762151,0.0005749277766830818,0.001835387174190739
2022-08-09,31735000.0,23810.98,1300.11,2022-08-09 09:00:00,1294.6170654296875,30956893.207799997,0.025135170605684376,1332.7884866561562,-0.004138027160714236,0.001156584307160452,0.0020465568041818927
2022-08-10,31435000.0,23151.32,1307.52,2022-08-10 09:00:00,1293.3477783203125,30270813.9264,0.038459027776081234,1357.8059479977815,-0.008191389212335642,-4.399365686102996e-05,0.002252208374159237
2022-08-11,30997000.0,23954.05,1297.54,2022-08-11 09:00:00,1292.283935546875,31081338.036999997,-0.00271346223575053,1294.0191742106242,0.002143427927324859,0.0015729790936024335,0.002424573582117756
2022-08-12,31583000.0,23933.09,1307.05,2022-08-12 09:00:00,1291.2991943359375,31281745.2845,0.009630367895402392,1319.6373723576855,-0.002007266293093196,3.2156362449353715e-05,0.00258412265068933
2022-08-13,31770000.0,24401.7,1307.05,2022-08-13 09:00:00,1290.724365234375,31894241.985,-0.003895436206272973,1301.9584701065908,0.0008570927447953403,3.2156362449353715e-05,0.0026772572191662847
2022-08-14,32368000.0,24443.06,1307.05,2022-08-14 09:00:00,1290.785888671875,31948301.573,0.013136799339426908,1324.220453576598,-0.0027498231512237126,3.2156362449353715e-05,0.0026672891107542285
2022-08-15,32562000.0,24305.25,1302.34,2022-08-15 09:00:00,1290.905029296875,31653699.284999996,0.0286949309406761,1339.71055636128,-0.005259550015423026,0.0007952767687302298,0.002647985789702295
2022-08-16,32544000.0,24093.04,1313.55,2022-08-16 09:00:00,1291.0982666015625,31647412.692,0.02833050893372535,1350.7635400098948,-0.007050368990486028,-0.0010209822024817572,0.0026166772269715644
2022-08-17,32435000.0,23856.15,1311.4,2022-08-17 09:00:00,1291.535400390625,31284955.110000003,0.036760317729603864,1359.6074806706029,-0.008483275909832833,-0.0006726363694661008,0.002545852234464463
2022-08-18,32082000.0,23342.66,1315.25,2022-08-18 09:00:00,1291.744140625,30701433.565,0.04496749091787877,1374.3934924297403,-0.010878925018305563,-0.0012964184425406922,0.0025120318666378427
2022-08-19,31547000.0,23191.45,1327.23,2022-08-19 09:00:00,1292.0867919921875,30780388.183500003,0.024905852776442305,1360.2857949804777,-0.008593177288121118,-0.0032374338283675808,0.0024565150406206937
