"날짜","종가","오픈","고가","저가","변동 %"
"2018년 08월 02일","1,306.91","1,305.33","1,314.74","1,304.94","0.12%"
"2018년 08월 01일","1,305.33","1,301.72","1,312.22","1,300.41","0.29%"
"2018년 07월 31일","1,301.56","1,309.53","1,315.93","1,299.49","-0.53%"
"2018년 07월 30일","1,308.50","1,300.16","1,309.52","1,298.08","0.59%"
"2018년 07월 27일","1,300.86","1,309.23","1,311.11","1,298.54","-0.63%"
"2018년 07월 26일","1,309.06","1,310.94","1,317.41","1,306.80","-0.15%"
"2018년 07월 25일","1,310.99","1,317.48","1,322.12","1,308.77","-0.49%"
"2018년 07월 24일","1,317.49","1,325.97","1,331.01","1,315.95","-0.65%"
"2018년 07월 23일","1,326.10","1,323.04","1,333.16","1,322.35","0.32%"
"2018년 07월 20일","1,321.90","1,321.94","1,326.01","1,319.41","-0.02%"
"2018년 07월 19일","1,322.12","1,316.86","1,326.32","1,315.12","0.43%"
"2018년 07월 18일","1,316.44","1,314.19","1,320.09","1,311.91","0.17%"
"2018년 07월 17일","1,314.19","1,321.74","1,322.81","1,312.73","-0.55%"
"2018년 07월 16일","1,321.42","1,319.35","1,322.84","1,316.80","0.06%"
"2018년 07월 13일","1,320.62","1,312.71","1,321.23","1,309.16","0.61%"
"2018년 07월 12일","1,312.66","1,317.04","1,320.62","1,311.45","-0.34%"
"2018년 07월 11일","1,317.10","1,308.89","1,319.60","1,305.22","0.65%"
"2018년 07월 10일","1,308.55","1,308.02","1,312.41","1,304.20","0.02%"
"2018년 07월 09일","1,308.26","1,310.52","1,312.47","1,305.58","-0.16%"
"2018년 07월 06일","1,310.39","1,308.41","1,313.95","1,303.71","0.14%"
"2018년 07월 05일","1,308.61","1,301.10","1,311.85","1,299.86","0.56%"
"2018년 07월 04일","1,301.34","1,299.88","1,305.55","1,298.54","0.12%"
"2018년 07월 03일","1,299.75","1,302.38","1,309.18","1,296.05","-0.20%"
"2018년 07월 02일","1,302.32","1,298.94","1,305.79","1,297.03","-0.05%"
"2018년 06월 29일","1,302.92","1,297.48","1,304.37","1,293.92","0.43%"
"2018년 06월 28일","1,297.28","1,297.80","1,303.15","1,294.95","-0.06%"
"2018년 06월 27일","1,298.11","1,302.84","1,305.94","1,296.72","-0.36%"
"2018년 06월 26일","1,302.79","1,305.49","1,310.63","1,301.15","-0.21%"
"2018년 06월 25일","1,305.55","1,296.42","1,308.58","1,295.39","0.72%"
"2018년 06월 22일","1,296.26","1,288.58","1,299.18","1,286.61","0.60%"
"2018년 06월 21일","1,288.57","1,284.47","1,292.25","1,279.29","0.32%"
