state,enter_price,enter_time,exit_price,ror,fiat_money,bin btc price (usdt),up btc price (krw),exchage rate(usd),unofficial exchange rate,kimch premium,pred premium(un_official)
True,37033000.0,2022-05-30,29468.1,1.0130075241454553,1044413998.7080027,29468.1,37033000.0,1251.1,1256.7148883029447,0.0044879612364676635,0.0081875174852624
False,29805.84,2022-06-02,39927000.0,1.0645826702393102,1111865043.579881,29805.84,39927000.0,1247.23,1339.5696950664703,0.07403581942903092,-0.0052367274828276
True,37880000.0,2022-06-03,30452.63,1.0645826702393102,1111865043.579881,30452.63,37880000.0,1241.14,1243.8991312080434,0.0022230620301040283,0.010263943336867
False,29700.21,2022-06-04,38393000.0,1.037910194759074,1154016063.9278007,29700.21,38393000.0,1241.14,1292.6844625004335,0.041529934173770267,0.0023596796773351
True,37974000.0,2022-06-07,31373.1,1.037910194759074,1154016063.9278007,31373.1,37974000.0,1254.8,1210.3999923501342,-0.03538413105663496,0.0156915179558281
False,31125.32,2022-06-08,39532000.0,1.047994841281493,1209402881.7523086,31125.32,39532000.0,1254.85,1270.0913597032898,0.012145961432274754,0.0060202439630467
True,28828000.0,2022-06-16,22583.72,1.047994841281493,1209402881.7523086,22583.72,28828000.0,1278.38,1276.4947493149932,-0.0014747185383117145,0.0049827583405291
False,20400.6,2022-06-17,29235000.0,1.1212491181259314,1356041914.6237361,20400.6,29235000.0,1288.57,1433.046086879798,0.11212125602784306,-0.0203818956565549
True,25096000.0,2022-06-20,20574.0,1.1212491181259314,1356041914.6237361,20574.0,25096000.0,1291.5,1219.7919704481383,-0.0555230581121654,0.0141698172887517
False,20573.9,2022-06-21,26666000.0,1.0612549707748336,1439106222.4734626,20573.9,26666000.0,1292.55,1296.1081758927571,0.0027528342367857395,0.0018049651221463
True,26643000.0,2022-06-22,20723.51,1.0612549707748336,1439106222.4734626,20723.51,26643000.0,1292.08,1285.6412837400615,-0.0049832179585926895,0.0035008247807584
False,19988.0,2022-06-23,26967000.0,1.0481127250079425,1508345544.412547,19988.0,26967000.0,1297.69,1349.1594956974184,0.039662396795396626,-0.0067904796173587
True,26180000.0,2022-06-24,21110.12,1.0481127250079425,1508345544.412547,21110.12,26180000.0,1300.14,1240.1634855699542,-0.04613081239716177,0.0108691975655422
False,21237.68,2022-06-25,27419000.0,1.0397542749068855,1568308727.8396995,21237.68,27419000.0,1300.14,1291.0543901217081,-0.006988178102582676,0.0026237861520528
True,27592000.0,2022-06-26,21491.18,1.0397542749068855,1568308727.8396995,21491.18,27592000.0,1300.14,1283.8755247501533,-0.012509787599679134,0.0037869153790117
False,21038.08,2022-06-27,27837000.0,1.029339228948841,1614321696.6682541,21038.08,27837000.0,1289.29,1323.1720765393038,0.02627963959954993,-0.002579963722214
True,25454000.0,2022-07-05,20236.71,1.029339228948841,1614321696.6682541,20236.71,25454000.0,1296.06,1257.8131524343632,-0.02951009024708484,0.0080095752835274
False,20175.84,2022-07-06,26399000.0,1.0389774885108363,1677243902.0529346,20175.84,26399000.0,1309.09,1308.4461415237236,-0.0004918366775977789,-0.0001940483268944
