state,enter_price,enter_time,exit_price,ror,fiat_money,비공식환율,seed_fiat,seed_krw,바이낸스USDT,비트코인KRW,달러환율,김치프리미엄,선형회귀예상김프,LSTM달러_예측값_예상김프
True,50800000.0,2021-10-01,43820.01,1.02916130853161,167405598.81682923,1159.2877317919372,144277.7697140661,170937416.0018312,43820.01,50800000.0,1184.78,0.0215164572393719,-0.0198425028753922,-0.023183891135966
False,47634.89,2021-10-03,58348000.0,1.0547281459171538,176567396.8562252,1224.900487856695,176567396.8562252,176567396.8562252,47634.89,58348000.0,1184.78,-0.033863238623790926,-0.0198425028753922,-0.023183891135966
True,58466000.0,2021-10-05,49224.93,1.0547281459171538,176567396.8562252,1187.7315010910122,148525.86712264328,175921463.31341484,49224.93,58466000.0,1184.45,-0.0027704851120875507,-0.0198959699102272,-0.0231480138568798
False,53785.22,2021-10-08,66998000.0,1.0468591619401602,184841197.09886357,1245.6581938309446,184841197.09886357,184841197.09886357,53785.22,66998000.0,1191.33,-0.04560297636334565,-0.018781263244577,-0.0231480138568798
True,65951000.0,2021-10-10,54949.72,1.0468591619401602,184841197.09886357,1200.2062976845014,153866.00788092066,183305191.1687772,54949.72,65951000.0,1191.33,-0.007450746379677797,-0.018781263244577,-0.0229326908483836
False,54659.01,2021-10-11,67057000.0,1.0202973364163441,188592981.05997896,1226.82426922844,188592981.05997896,188592981.05997896,54659.01,67057000.0,1196.54,-0.025309867809216735,-0.0179371321794553,-0.0229326908483836
True,67801000.0,2021-10-12,57471.35,1.0202973364163441,188592981.05997896,1179.7356421938932,159712.74679189088,190976516.97640353,57471.35,67801000.0,1195.75,0.01339273075986358,-0.0180651290204238,-0.0227214618844138
False,55996.91,2021-10-13,70954000.0,1.072084864557037,202187680.55609542,1267.1056313643019,202187680.55609542,202187680.55609542,55996.91,70954000.0,1197.92,-0.05775480112553577,-0.0177135427610545,-0.0227214618844138
True,69188000.0,2021-10-14,57370.83,1.072084864557037,202187680.55609542,1205.9787177560443,167502.22214529073,198803362.3975812,57370.83,69188000.0,1186.87,-0.016100093317755526,-0.0195038783214375,-0.0224419988450043
False,60875.57,2021-10-17,75688000.0,1.0290752856332603,208066345.11979032,1243.3230604657995,208066345.11979032,208066345.11979032,60875.57,75688000.0,1182.23,-0.05167612094583918,-0.0202556572354806,-0.0224419988450043
True,76541000.0,2021-10-20,64280.59,1.0290752856332603,208066345.11979032,1190.7326924037257,174575.3996936914,205232585.63390052,64280.59,76541000.0,1175.61,-0.012863698338501539,-0.0213282383585335,-0.0217199438809022
False,62193.15,2021-10-22,79919000.0,1.077181230241582,224125161.6080053,1285.0128993305532,224125161.6080053,224125161.6080053,62193.15,79919000.0,1177.86,-0.0909725258779086,-0.0209636903937497,-0.0217199438809022
True,74501000.0,2021-10-26,63078.78,1.077181230241582,224125161.6080053,1181.0786448311144,189592.50046757728,221468687.57119107,63078.78,74501000.0,1168.13,-0.011084934751366848,-0.0225401578147927,-0.0224653962105826
False,60328.81,2021-10-27,76250000.0,1.0682197178085773,239414916.8867052,1263.906912800037,239414916.8867052,239414916.8867052,60328.81,76250000.0,1168.06,-0.08205649778267987,-0.0225514993070305,-0.0224653962105826
True,71833000.0,2021-10-29,60575.9,1.0682197178085773,239414916.8867052,1185.83463060392,201720.06323551727,235699807.88754016,60575.9,71833000.0,1168.45,-0.014878369296007499,-0.0224883109931346,-0.0231613046680959
False,61859.19,2021-10-31,74568000.0,1.0147653558189382,242949963.32289892,1205.4474040154746,242949963.32289892,242949963.32289892,61859.19,74568000.0,1168.45,-0.03166366041805335,-0.0224883109931346,-0.0231613046680959
True,73428000.0,2021-11-01,61299.81,1.0147653558189382,242949963.32289892,1197.8503685411097,202644.7820828906,238028587.48238412,61299.81,73428000.0,1174.61,-0.019785604192974482,-0.0214902596762152,-0.0237410965294044
False,61395.01,2021-11-05,74607000.0,1.0127121240338177,246038373.39067107,1215.1964793229938,246038373.39067107,246038373.39067107,61395.01,74607000.0,1185.97,-0.024643523295693637,-0.019649697507351,-0.0237410965294044
True,74092000.0,2021-11-07,61470.62,1.0127121240338177,246038373.39067107,1205.323779067138,203948.59108072292,241876910.56400496,61470.62,74092000.0,1185.97,-0.01631894488658059,-0.019649697507351,-0.0240711121186179
